Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Artemis Fowl,12/06/2020,Adventure:Fantasy:Science Fiction:Family:Action,Kenneth Branagh,Ferdia Shaw:Colin Farrell,Lara McDonnell:Josh Gad,English,94,125000000,0,5.6,PG
Fast Charlie,08/12/2023,Action:Crime:Drama,Phillip Noyce,Pierce Brosnan:Morena Baccarin,James Caan:Gbenga Akinnagbe,English:Latin,90,20000000,0,6.172,
Plug,06/10/2023,Drama:Action,Dewey Allen,Dewey Allen:Mando TM Allen,Raheem Allen:Just Brittany,English,95,0,0,0,
Elwood Private Eyes,06/10/2023,Crime:Action:Science Fiction,Bryce Daily,judah vaughn:mazzy seedorf,Mikayla Dagen:Alex Romano,English,31,0,0,10,PG-13
Desperation Road,19/10/2023,Thriller:Action:Crime:Drama,Nadine Crocker,Willa Fitzgerald:Garrett Hedlund,Mel Gibson:Ryan Hurst,English,112,0,0,6.7,R
Ballerina,05/10/2023,Action:Adventure:Thriller,Lee Chung-hyun,Jun Jong-seo:Kim Ji-hun,Park Yu-rim:Shin Se-hwi,Korean,93,0,0,7.02,R
Dr. Cheon and the Lost Talisman,27/09/2023,Action:Thriller:Mystery:Crime:Fantasy:Horror,Kim Seong-sik,Gang Dong-won:Heo Joon-ho,Esom:Lee Dong-hwi,English:Korean,98,0,14000000,6.1,
The Killer Citrus,05/10/2023,Action:Adventure:Animation:Comedy,Ocelot,Kockman:Chriso,Ocelot:Pascal Thiel,English:German,29,400,0,0,
Kahel,29/09/2023,Action:Drama,Filbert Wong,Glaiza de Castro:Gino Gardiola,Paulo Flores,Tagalog,83,0,0,0,NR
Head Count,29/09/2023,Thriller:Action:Comedy,Ben Burghart,Aaron Jakubenko:Melanie Zanetti,Ryan Kwanten:Chris Bylsma,English,81,0,0,5.4,
Muzzle,29/09/2023,Action,John Stalberg Jr.,Aaron Eckhart:Stephen Lang,Diego Tinoco:Leslie Black,German:Spanish:English,100,0,7807,6.384,R
57 Seconds,29/09/2023,Thriller:Science Fiction:Action,Rusty Cundieff,Josh Hutcherson:Morgan Freeman,Greg Germann:Lovie Simone,English:Portuguese,99,0,0,6.081,R
PAW Patrol: The Mighty Movie,21/09/2023,Animation:Family:Action:Science Fiction:Comedy:Drama:Adventure,Cal Brunker,Mckenna Grace:Christian Convery,Taraji P. Henson:Kristen Bell,English:Spanish,92,30000000,202231360,7.115,PG
Peddha Kapu - 1,27/09/2023,Action:Drama,Srikanth Addala,Virat Karrna:Pragati Srivastava,Rao Ramesh:Adukalam Naren,Telugu,147,0,0,7.2,NR
