Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
GoodFellas,12/09/1990,Drama,Martin Scorsese,Ray Liotta:Robert De Niro:Joe Pesci,Lorraine Bracco:Paul Sorvino:Frank Sivero,en,145,25000000,46800000,8.466,R
Django Unchained,25/12/2012,Drama,Quentin Tarantino,Jamie Foxx:Christoph Waltz:Leonardo DiCaprio,Kerry Washington:Samuel L. Jackson:Walton Goggins,en,165,100000000,425368238,8.177,R
The Martian,30/09/2015,Drama,Ridley Scott,Matt Damon:Jessica Chastain:Kristen Wiig,Jeff Daniels:Michael Peña:Kate Mara,en,141,108000000,631058917,7.683,PG-13
Your Name.,26/08/2016,Drama,Makoto Shinkai,Ryunosuke Kamiki:Mone Kamishiraishi:Ryo Narita,Aoi Yuki:Nobunaga Shimazaki:Kaito Ishikawa,ja,106,0,358000000,8.498,PG
Uri: The Surgical Strike,11/01/2019,Drama,Aditya Dhar,Vicky Kaushal:Paresh Rawal:Yami Gautam,Kirti Kulhari:Mohit Raina:Dhairya Karwa,hi,138,0,0,7.092,
Dolce... calda Lisa,28/03/1980,Drama,Adriano Tagliavia,Luigina Rocchi:Francesco Parisi:Mario Cutini,Maruska Ferretti:Enzo Fisichella:Guia Lauri Filzi,it,84,0,0,4.571,
17 Again,11/03/2009,Drama,Burr Steers,Zac Efron:Leslie Mann:Thomas Lennon,Michelle Trachtenberg:Sterling Knight:Matthew Perry,en,102,20000000,136300000,6.3,PG-13
Concrete Utopia,09/08/2023,Drama,Um Tae-hwa,Lee Byung-hun:Park Seo-jun:Park Bo-young,Kim Sun-young:Park Ji-hu:Kim Do-yoon,ko,130,0,28900000,7.302,NR
Eternal Sunshine of the Spotless Mind,19/03/2004,Drama,Michel Gondry,Jim Carrey:Kate Winslet:Kirsten Dunst,Mark Ruffalo:Elijah Wood:Tom Wilkinson,en,108,20000000,72258126,8.099,R
Edward Scissorhands,07/12/1990,Drama,Tim Burton,Johnny Depp:Winona Ryder:Dianne Wiest,Alan Arkin:Anthony Michael Hall:Vincent Price,en,105,20000000,53000000,7.715,PG-13
Rise of the Planet of the Apes,03/08/2011,Drama,Rupert Wyatt,Andy Serkis:James Franco:Freida Pinto,John Lithgow:Brian Cox:Tom Felton,en,105,93000000,482900000,7.299,PG-13
Tarzan,18/06/1999,Drama,Kevin Lima,Tony Goldwyn:Minnie Driver:Glenn Close,Alex D. Linz:Rosie O'Donnell:Brian Blessed,en,88,130000000,448200000,7.407,G
The Revenant,25/12/2015,Drama,Alejandro González Iñárritu,Leonardo DiCaprio:Tom Hardy:Domhnall Gleeson,Will Poulter:Forrest Goodluck:Duane Howard,en,157,135000000,532950503,7.53,R
Exodus: Gods and Kings,03/12/2014,Drama,Ridley Scott,Christian Bale:Joel Edgerton:Ben Kingsley,John Turturro:Aaron Paul:Ben Mendelsohn,en,150,140000000,268031828,5.856,PG-13
Shutter Island,14/02/2010,Drama,Martin Scorsese,Leonardo DiCaprio:Mark Ruffalo:Ben Kingsley,Max von Sydow:Michelle Williams:Emily Mortimer,en,138,80000000,294800000,8.201,R
Alone,19/05/2023,Drama,Jose Manuel Rebollo,María Andrómeda:Mabel Carrión:Asencio Salas,,es,0,0,0,2,
Emmanuelle 3,14/10/1977,Drama,François Leterrier,Sylvia Kristel:Umberto Orsini:Jean-Pierre Bouvier,Alexandra Stewart:Olga Georges-Picot:Charlotte Alexandra,fr,100,0,0,4.3,NC-17
Top Gun,16/05/1986,Drama,Tony Scott,Tom Cruise:Kelly McGillis:Val Kilmer,Anthony Edwards:Tom Skerritt:Michael Ironside,en,110,15000000,356830601,7.053,PG
The Warrior Princess,03/12/2021,Drama,S. Baasanjargal,Tserendolgor Munkhbat:Altantur Altanjargal:Setgeltuvshin Bayarbat,Tumurtogtokh Davaakhuu:Badrakh Battogtokh:Munkhtumur Dondov,mn,108,0,0,7.19,
Suzume,11/11/2022,Drama,Makoto Shinkai,Nanoka Hara:Hokuto Matsumura:Eri Fukatsu,Shota Sometani:Sairi Ito:Kotone Hanase,ja,123,0,321092572,7.988,PG
After Everything,13/09/2023,Drama,Castille Landon,Hero Fiennes Tiffin:Josephine Langford:Mimi Keene,Stephen Moyer:Louise Lombard:Arielle Kebbel,en,93,14000000,10600000,6.971,R
